Imprime estado de cuenta del contrato:|11918|Usuario:|tarenales|Fecha y hora:|22/04/2021 15:30:06|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|11918|Usuario:|tarenales|Fecha y hora:|22/04/2021 15:48:08|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|12865|Usuario:|cmercado|Fecha y hora:|22/04/2021 15:49:46|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|25269|Usuario:|cmercado|Fecha y hora:|22/04/2021 15:50:44|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|12877|Usuario:|cmercado|Fecha y hora:|22/04/2021 15:52:33|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|11524|Usuario:|mtejerina|Fecha y hora:|22/04/2021 15:54:36|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|11524|Usuario:|mtejerina|Fecha y hora:|22/04/2021 15:54:42|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|23559|Usuario:|mtejerina|Fecha y hora:|22/04/2021 15:58:26|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|23559|Usuario:|mtejerina|Fecha y hora:|22/04/2021 15:58:34|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|24728|Usuario:|mtejerina|Fecha y hora:|22/04/2021 15:59:20|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|24728|Usuario:|mtejerina|Fecha y hora:|22/04/2021 15:59:28|Equipo|:192.168.14.5
Consulta estado de cuenta del contrato:|8456|Usuario:|tarenales|Fecha y hora:|22/04/2021 16:32:17|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|8456|Usuario:|tarenales|Fecha y hora:|22/04/2021 16:32:37|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|8456|Usuario:|tarenales|Fecha y hora:|22/04/2021 16:32:50|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|560|Usuario:|tarenales|Fecha y hora:|22/04/2021 19:39:12|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|560|Usuario:|tarenales|Fecha y hora:|22/04/2021 19:39:12|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|560|Usuario:|tarenales|Fecha y hora:|22/04/2021 19:39:28|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|4705|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:02:55|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|14422|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:04:46|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|3007|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:05:33|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|17019|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:07:02|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|17019|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:07:16|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|17019|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:07:38|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|17019|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:07:51|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|17019|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:08:05|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|17021|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:09:29|Equipo|:192.168.13.30
Imprime estado de cuenta del contrato:|17021|Usuario:|tarenales|Fecha y hora:|22/04/2021 20:09:45|Equipo|:192.168.13.30
