Consulta estado de cuenta del contrato:|25138|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 13:16:07|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|22465|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 13:16:34|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25138|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 13:17:03|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|21025|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 13:17:20|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25138|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 13:28:57|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24956|Usuario:|cmercado|Fecha y hora:|14/04/2021 13:46:52|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|25776|Usuario:|cmercado|Fecha y hora:|14/04/2021 13:48:01|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|9736|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 14:03:38|Equipo|:192.168.14.3
Imprime estado de cuenta del contrato:|9736|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 14:03:52|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:||Usuario:|cmercado|Fecha y hora:|14/04/2021 15:05:10|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|8456|Usuario:|tarenales|Fecha y hora:|14/04/2021 15:10:43|Equipo|:192.168.13.30
Consulta estado de cuenta del contrato:|22559|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 15:16:23|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|25918|Usuario:|cmercado|Fecha y hora:|14/04/2021 15:27:32|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|4874|Usuario:|SMAMANI|Fecha y hora:|14/04/2021 15:35:59|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24653|Usuario:|cmercado|Fecha y hora:|14/04/2021 15:36:31|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|22017|Usuario:|cmercado|Fecha y hora:|14/04/2021 16:01:49|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|24135|Usuario:|cmercado|Fecha y hora:|14/04/2021 16:07:59|Equipo|:192.168.14.28
