Consulta estado de cuenta del contrato:|22862|Usuario:|dmamani|Fecha y hora:|18/02/2022 14:21:48|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|21937|Usuario:|dmamani|Fecha y hora:|18/02/2022 14:31:10|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|20955|Usuario:|dmamani|Fecha y hora:|18/02/2022 14:35:10|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|20955|Usuario:|acuba|Fecha y hora:|18/02/2022 14:42:15|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|28522|Usuario:|Evaldez|Fecha y hora:|18/02/2022 14:49:19|Equipo|:192.168.16.25
Consulta estado de cuenta del contrato:|13641|Usuario:|dmamani|Fecha y hora:|18/02/2022 14:53:30|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|13641|Usuario:|acuba|Fecha y hora:|18/02/2022 15:09:14|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|27311|Usuario:|dmamani|Fecha y hora:|18/02/2022 15:14:18|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|27354|Usuario:|dmamani|Fecha y hora:|18/02/2022 15:15:20|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|20327|Usuario:|cmercado|Fecha y hora:|18/02/2022 15:22:11|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|26741|Usuario:|cmercado|Fecha y hora:|18/02/2022 15:23:22|Equipo|:192.168.14.28
Consulta estado de cuenta del contrato:|20955|Usuario:|acuba|Fecha y hora:|18/02/2022 15:24:17|Equipo|:192.168.14.3
Imprime estado de cuenta del contrato:|20955|Usuario:|acuba|Fecha y hora:|18/02/2022 15:26:09|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|24550|Usuario:|dmamani|Fecha y hora:|18/02/2022 15:27:55|Equipo|:192.168.14.2
Consulta estado de cuenta del contrato:|9923806|Usuario:|MJAUREGUI|Fecha y hora:|18/02/2022 15:41:15|Equipo|:192.168.12.4
Consulta estado de cuenta del contrato:|28976|Usuario:|acuba|Fecha y hora:|18/02/2022 16:02:14|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|9926659|Usuario:|acuba|Fecha y hora:|18/02/2022 16:14:45|Equipo|:192.168.14.3
Consulta estado de cuenta del contrato:|9926659|Usuario:|MJAUREGUI|Fecha y hora:|18/02/2022 16:21:40|Equipo|:192.168.12.4
Consulta estado de cuenta del contrato:|28653|Usuario:|acuba|Fecha y hora:|18/02/2022 16:56:21|Equipo|:192.168.14.3
Imprime estado de cuenta del contrato:|28653|Usuario:|acuba|Fecha y hora:|18/02/2022 16:57:22|Equipo|:192.168.14.3
